epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.6035,0.7184,1.64435,0.99299,0.83964,0.84854,0.873,0.71462,0.69575,1.22267,0.98269,0.000415,0.000415,0.000415
2,104.686,0.7104,0.9469,0.9881,0.87159,0.89011,0.91273,0.73786,0.74009,0.82444,1.04007,0.0008152,0.0008152,0.0008152
3,153.945,0.70432,0.77519,0.99442,0.95532,0.93342,0.9858,0.80832,0.71149,0.56501,1.02065,0.0011989,0.0011989,0.0011989
4,202.389,0.6885,0.66577,0.99515,0.96545,0.96474,0.98502,0.79445,0.71325,0.50187,1.02507,0.00117575,0.00117575,0.00117575
5,250.569,0.68213,0.59908,0.99559,0.97631,0.98814,0.99291,0.82061,0.68247,0.44598,0.99452,0.001151,0.001151,0.001151
6,298.855,0.65349,0.55759,0.98063,0.97248,0.97953,0.98901,0.81878,0.67964,0.42503,1.0112,0.00112625,0.00112625,0.00112625
7,347.403,0.63243,0.52037,0.97504,0.86235,0.88289,0.9501,0.7855,0.68901,0.71393,1.01244,0.0011015,0.0011015,0.0011015
8,395.533,0.63562,0.51374,0.97637,0.97494,0.97549,0.99264,0.84065,0.63257,0.38794,0.96092,0.00107675,0.00107675,0.00107675
9,444.253,0.63407,0.49446,0.97643,0.95333,0.94151,0.97446,0.82804,0.6294,0.4543,0.96532,0.001052,0.001052,0.001052
10,492.591,0.61995,0.47618,0.97364,0.97166,0.97689,0.99046,0.83612,0.63705,0.3735,0.96894,0.00102725,0.00102725,0.00102725
11,540.975,0.61394,0.46395,0.97175,0.97766,0.95111,0.98925,0.84359,0.62277,0.39253,0.97275,0.0010025,0.0010025,0.0010025
12,589.244,0.60194,0.45327,0.95905,0.96762,0.9386,0.98219,0.82331,0.66947,0.42406,1.00201,0.00097775,0.00097775,0.00097775
13,637.806,0.60106,0.44333,0.9641,0.98435,0.9841,0.99151,0.83416,0.64973,0.35154,0.98009,0.000953,0.000953,0.000953
14,686.493,0.59383,0.44272,0.96457,0.98116,0.98187,0.99264,0.84283,0.64596,0.34386,0.9853,0.00092825,0.00092825,0.00092825
15,735.527,0.58408,0.42861,0.95569,0.94219,0.95801,0.97862,0.82929,0.64704,0.38788,0.97892,0.0009035,0.0009035,0.0009035
16,784.227,0.59028,0.42487,0.96044,0.92727,0.95906,0.98943,0.84084,0.6294,0.4154,0.97113,0.00087875,0.00087875,0.00087875
17,833.063,0.57554,0.41966,0.95647,0.96999,0.95422,0.98343,0.83239,0.64375,0.38052,0.9841,0.000854,0.000854,0.000854
18,881.773,0.5747,0.40776,0.95575,0.98968,0.99763,0.99408,0.85437,0.62007,0.2997,0.96951,0.00082925,0.00082925,0.00082925
19,930.106,0.57152,0.40949,0.9542,0.94089,0.95025,0.98179,0.83301,0.6404,0.39397,0.98222,0.0008045,0.0008045,0.0008045
20,978.135,0.56075,0.39407,0.94372,0.98737,0.98671,0.99355,0.84776,0.62021,0.31007,0.97146,0.00077975,0.00077975,0.00077975
21,1026.39,0.56172,0.39137,0.94654,0.99443,0.9977,0.99426,0.84891,0.62547,0.28977,0.97516,0.000755,0.000755,0.000755
22,1074.88,0.56451,0.38676,0.94986,0.98866,0.99764,0.99404,0.85091,0.62334,0.28991,0.97087,0.00073025,0.00073025,0.00073025
23,1123.69,0.55586,0.38622,0.94336,0.99237,0.99808,0.99361,0.85055,0.62322,0.28497,0.96773,0.0007055,0.0007055,0.0007055
24,1172.42,0.55579,0.38043,0.94713,0.98151,0.97256,0.99233,0.85174,0.62432,0.3243,0.97217,0.00068075,0.00068075,0.00068075
25,1221.53,0.55062,0.37352,0.94409,0.99381,0.9943,0.99393,0.85411,0.61569,0.28578,0.95522,0.000656,0.000656,0.000656
26,1270.5,0.54484,0.36822,0.93821,0.98097,0.99169,0.99366,0.85155,0.62388,0.28753,0.96505,0.00063125,0.00063125,0.00063125
27,1318.78,0.54451,0.36862,0.94354,0.99393,0.99392,0.99407,0.85581,0.60835,0.2816,0.96645,0.0006065,0.0006065,0.0006065
28,1367.98,0.5426,0.36093,0.94427,0.96245,0.95769,0.98385,0.85171,0.60502,0.38371,0.95566,0.00058175,0.00058175,0.00058175
29,1416.38,0.54712,0.37045,0.94551,0.99522,0.98484,0.99443,0.8572,0.6143,0.27956,0.97377,0.000557,0.000557,0.000557
30,1465.24,0.53554,0.35714,0.93491,0.98944,0.99055,0.99381,0.86149,0.59526,0.27272,0.95129,0.00053225,0.00053225,0.00053225
